"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"99",1691,"07/1","/II-4:35-37,41","1-2","1","1c","7 Unterteil","1 d","bogen","02_Burials_Center"
"100",1691,"07/1","/II-4:35-37,41","1-2","1","1c","3 Oberteil","7 a","mit Kamm","02_Burials_Center"
"101",1717,"07/1","G (1)",NA,"1","5","6 Bauch","2","fein","02_Burials_Center"
"102",1732,"07/2","/I-1:4 usw.",NA,"2","3c","3 Oberteil","14","","02_Burials_Center"
"103",349,"07/3","-1:70<U+0096>93","3-1","C3-2","1a","2 Rand","16","","03_Burials_Church"
"104",349,"07/3","-1:70<U+0096>93","3-1","C3-2","1a","2 Rand","1 a","","03_Burials_Church"
"105",349,"07/3","-1:70<U+0096>93","3-1","C3-2","1a","3 Oberteil","1 a","","03_Burials_Church"
"106",349,"07/3","-1:70<U+0096>93","3-1","C3-2","1a","3 Oberteil","1 b","","03_Burials_Church"
"107",349,"07/3","-1:70<U+0096>93","3-1","C3-2","1a","3 Oberteil","10 b","","03_Burials_Church"
"108",349,"07/3","-1:70<U+0096>93","3-1","C3-2","1a","7 Unterteil","5 a","","03_Burials_Church"
"109",350,"07/3","-1:425<U+0096>431","3-3","C3-2","1a","3 Oberteil","4","17mm horizontale Rillen/darutner 2 Rillen/13mm diagonale Kammeindrücke/darunter 2 Rillen","03_Burials_Church"
"110",350,"07/3","-1:425<U+0096>431","3-3","C3-2","1a","2 Rand","4","3 Rillen/13mm diagonale Kammeindrücke/darunter 2 Rillen","03_Burials_Church"
"111",350,"07/3","-1:425<U+0096>431","3-3","C3-2","1a","3 Oberteil","9","","03_Burials_Church"
"112",350,"07/3","-1:425<U+0096>431","3-3","C3-2","1a","2 Rand","1 a","","03_Burials_Church"
"113",350,"07/3","-1:425<U+0096>431","3-3","C3-2","1a","3 Oberteil","1 a","","03_Burials_Church"
"114",350,"07/3","-1:425<U+0096>431","3-3","C3-2","1a","7 Unterteil","5 a","","03_Burials_Church"
"115",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","3 Oberteil","2","","03_Burials_Church"
"116",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","2 Rand","2","","03_Burials_Church"
"117",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","3 Oberteil","16","","03_Burials_Church"
"118",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","2 Rand","1 a","","03_Burials_Church"
"119",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","3 Oberteil","1 a","","03_Burials_Church"
"120",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","3 Oberteil","1 b","","03_Burials_Church"
