"","ObjID","feature","Indiv","GE","box","form_vessel"
"542",1063,"07/11","II/2b:190",NA,NA,NA
"543",1064,"07/11","II/2c:12",NA,NA,NA
"544",1065,"07/11","I/6:3",NA,NA,NA
"545",1066,"07/11","II/2b:215",NA,NA,NA
"546",1067,"07/11","II/2b:170",NA,NA,NA
"547",1068,"07/11","II/2b:184",NA,NA,NA
"548",1069,"07/11","II/2b:174",NA,NA,NA
"549",1070,"07/11","II/2b:159",NA,NA,NA
"550",1071,"07/11","I/4:3 od 8 od 9?",NA,NA,NA
"551",1072,"07/11","II/2b:182",NA,NA,NA
"552",1073,"07/11","II/2b:220",NA,NA,NA
"553",1074,"07/11","II/2c:15",NA,NA,NA
"554",1075,"07/11","II/2b:205",NA,NA,NA
"555",1076,"07/11","II/2b:186",NA,NA,NA
"556",1077,"07/11","II/2b:178",NA,NA,NA
"557",1078,"07/11","II/2b:191",NA,NA,NA
"558",1079,"07/11","II/2b:187",NA,NA,NA
"559",1080,"07/11","II/2b:167",NA,NA,NA
"560",1081,"07/11","II/2b:208",NA,NA,NA
"561",1082,"07/11","II/2c:18",NA,NA,NA
"562",1083,"07/11","II/2b:226",NA,NA,NA
"563",1084,"07/11","II/2b:176",NA,NA,NA
"564",1085,"07/11","II/2b:231",NA,NA,NA
"565",1086,"07/11","II/2b:166",NA,NA,NA
"566",1087,"07/11","II/2b:209",NA,NA,NA
"567",1088,"07/11","II/2c:20",NA,NA,NA
"568",1089,"07/11","II/2B:210",NA,NA,NA
"569",1090,"07/11","I/3:16",NA,NA,NA
"570",1091,"07/11","II/2b:202",NA,NA,NA
"571",1092,"07/11","I/6:6",NA,NA,NA
"572",1093,"07/11","II/2b:218",NA,NA,NA
"573",1094,"07/11","II/2c:21",NA,NA,NA
"574",1095,"07/11","II/2b:230",NA,NA,NA
"575",1096,"07/11","II/2b:222",NA,NA,NA
"576",1097,"07/11","II/2b:229",NA,NA,NA
"577",1098,"07/11","II/2b:207",NA,NA,NA
"578",1099,"07/11","II/2b:234",NA,NA,NA
"579",1100,"07/11","II/2b:216",NA,NA,NA
"580",1101,"07/11","II/2b:223",NA,NA,NA
"581",1102,"07/11","II/2b:225",NA,NA,NA
"582",1103,"07/11","II/2b:194",NA,NA,NA
"583",1104,"07/11","II/2b:237",NA,NA,NA
"584",1105,"07/11","II/2b:236",NA,NA,NA
"585",1106,"07/11","II/2b:233",NA,NA,NA
"586",1107,"07/11","I/2:20",NA,NA,NA
"587",1108,"07/11","I/2:18",NA,NA,NA
"588",1109,"07/11","I/2:29",NA,NA,NA
"589",1110,"07/11","I/2:27",NA,NA,NA
"590",1111,"07/11","I/2:31",NA,NA,NA
"591",1112,"07/11","I/2:28",NA,NA,NA
"592",1113,"07/11","I/2:30",NA,NA,NA
"593",1114,"07/11","I/1:52",NA,NA,NA
"594",1115,"07/11","I/1:53",NA,NA,NA
"595",1116,"07/11","I/1:55",NA,NA,NA
"596",1117,"07/11","I/1:56",NA,NA,NA
"597",1118,"07/11","I/1:57",NA,NA,NA
"598",1119,"07/11","I/1:58",NA,NA,NA
"599",1120,"07/11","I/1:59",NA,NA,NA
"600",1121,"07/11","I/1:60",NA,NA,NA
"601",1122,"07/11","I/1:61",NA,NA,NA
"602",1123,"07/11","I/1:62",NA,NA,NA
"603",1124,"07/11","I/1:63",NA,NA,NA
"604",1125,"07/11","I/1:64",NA,NA,NA
"605",1126,"07/11","I/1:65",NA,NA,NA
"606",1127,"07/11","I/1:66",NA,NA,NA
"607",1128,"07/11","I/1:67",NA,NA,NA
"608",1129,"07/11","I/1:68",NA,NA,NA
"609",1130,"07/11","I/1:69",NA,NA,NA
"610",1131,"07/11","I/1:70",NA,NA,NA
"611",1132,"07/11","I/1:71",NA,NA,NA
"612",1133,"07/11","I/1:72",NA,NA,NA
"613",1134,"07/11","I/1:73",NA,NA,NA
"614",1135,"07/11","I/1:74",NA,NA,NA
"615",1136,"07/11","I/1:75",NA,NA,NA
"616",1137,"07/13","II/4:109",NA,NA,NA
"617",1138,"07/13","II/3b:4",NA,NA,NA
"618",1139,"07/13","I/5:4",NA,NA,NA
"619",1140,"07/13","I/6:1",NA,NA,NA
